department,commodity_desc,week_no,weekly_sales_value
DELI,CHICKEN/POULTRY,45,303.44
DELI,CHICKEN/POULTRY,46,420.37
DELI,CHICKEN/POULTRY,47,280.59
DELI,CHICKEN/POULTRY,48,311.54
DELI,CHICKEN/POULTRY,49,326.14
DELI,CHICKEN/POULTRY,50,334.69
DELI,CHICKEN/POULTRY,51,288.3
DELI,CHICKEN/POULTRY,52,318.13
DELI,CHICKEN/POULTRY,53,280.64
DELI,CHICKEN/POULTRY,54,378.81
DELI,CHICKEN/POULTRY,55,432.54
DELI,CHICKEN/POULTRY,56,235.43
DELI,CHICKEN/POULTRY,57,317.35
DELI,CHICKEN/POULTRY,58,241.15
DELI,CHICKEN/POULTRY,59,453.12
DELI,CHICKEN/POULTRY,60,346.51
DELI,CHICKEN/POULTRY,61,324.13
DELI,CHICKEN/POULTRY,62,327.73
DELI,CHICKEN/POULTRY,63,356.39
DELI,CHICKEN/POULTRY,64,333.44
DELI,CHICKEN/POULTRY,65,327.58
DELI,CHICKEN/POULTRY,66,467.11
DELI,CHICKEN/POULTRY,67,545.79
DELI,CHICKEN/POULTRY,68,407.43
DELI,CHICKEN/POULTRY,69,594.54
DELI,CHICKEN/POULTRY,70,420.1
DELI,CHICKEN/POULTRY,71,293.89
DELI,CHICKEN/POULTRY,72,533.11
DELI,CHICKEN/POULTRY,73,394.45
DELI,CHICKEN/POULTRY,74,442.88
DELI,CHICKEN/POULTRY,75,373.39
DELI,CHICKEN/POULTRY,76,345.57
DELI,CHICKEN/POULTRY,77,274.86
DELI,CHICKEN/POULTRY,78,289.21
DELI,CHICKEN/POULTRY,79,302.36
DELI,CHICKEN/POULTRY,80,375.94
DELI,CHICKEN/POULTRY,81,290.74
DELI,CHICKEN/POULTRY,82,257.91
DELI,CHICKEN/POULTRY,83,230.94
DELI,CHICKEN/POULTRY,84,382.07
DELI,CHICKEN/POULTRY,85,379.22
DELI,CHICKEN/POULTRY,86,353.01
DELI,CHICKEN/POULTRY,87,298.77
DELI,CHICKEN/POULTRY,88,350.54
DELI,CHICKEN/POULTRY,89,288.77
DELI,CHICKEN/POULTRY,90,352.42
DELI,CHICKEN/POULTRY,91,302.63
DELI,CHICKEN/POULTRY,92,347.76
DELI,CHICKEN/POULTRY,93,345.09
DELI,CHICKEN/POULTRY,94,351.08
DELI,CHICKEN/POULTRY,95,331.6
DELI,CHICKEN/POULTRY,96,309.7
DELI,CHICKEN/POULTRY,97,299.65
DELI,CHICKEN/POULTRY,98,562.14
DELI,CHICKEN/POULTRY,99,405.74
DELI,CHICKEN/POULTRY,100,437.08
DELI,CHICKEN/POULTRY,101,270.92
DELI,CHICKEN/POULTRY,102,218.73
DELI,COFFEE SHOP,16,0.99
DELI,COFFEE SHOP,17,0.99
DELI,COFFEE SHOP,32,0.99
