store_id,total_sales,perishable_sales,pct_perishable
3297,2539.39,1931.76,76.1
569,2762.57,1627.18,58.9
707,1141.76,671.69,58.8
3316,1243.7,729.99,58.7
3274,2104.15,1183.12,56.2
366,11299.88,6275.96,55.5
440,1557.89,860.98,55.3
360,30230.8,16535.08,54.7
313,55708.87,30410.55,54.6
403,60487.34,32436.94,53.6
673,7243.31,3843.64,53.1
337,22358.25,11792.0,52.7
446,65533.52,34289.98,52.3
311,61407.66,32082.56,52.2
370,49647.71,25863.42,52.1
